series_id,model,mae,smape
M29756,lstm_none,9626.333381,198.267740
M26654,lstm_none,1666.333381,190.319263
M38360,lstm_none,4776.888936,196.542919
M33017,lstm_none,6967.932379,196.880826
M12430,lstm_none,3168.000047,194.798123
M33772,lstm_none,11335.340714,198.517512
M6341,lstm_none,5408.842409,196.935489
M16502,lstm_none,4431.888936,196.255547
M32262,lstm_none,8604.715047,195.065504
M45792,lstm_none,972.719492,183.570047
M30603,lstm_none,9685.777825,198.266531
M5081,lstm_none,3906.134119,195.785157
M12529,lstm_none,3821.333381,195.695962
M2580,lstm_none,6747.666714,197.540696
M46344,lstm_none,5480.479492,196.966228
M31613,lstm_none,4744.666714,196.516254
M17610,lstm_none,3430.222270,194.824143
M39483,lstm_none,4532.222270,196.360325
M17963,lstm_none,3585.777825,195.050794
M30283,lstm_none,2065.203936,192.116476
M12470,lstm_none,2383.555603,193.187475
M40800,lstm_none,1445.783381,188.987350
M13578,lstm_none,3207.194492,194.833252
M38839,lstm_none,10113.555603,198.351519
M7375,lstm_none,4730.222270,196.481953
M29388,lstm_none,6571.888936,197.475748
M41495,lstm_none,2530.222270,193.356068
M4505,lstm_none,6996.888936,197.549994
M24565,lstm_none,5656.159337,197.072947
M43082,lstm_none,2371.333381,193.112191
M41390,lstm_none,6619.111159,197.477737
M15005,lstm_none,7161.269887,197.672669
M8593,lstm_none,5579.111159,197.004938
M5755,lstm_none,3577.720060,195.314751
M16818,lstm_none,8097.166714,197.945177
M15385,lstm_none,1546.055603,189.685401
M45346,lstm_none,6468.555603,197.434808
M8046,lstm_none,783.555603,180.279608
M23315,lstm_none,3060.516714,194.656608
M43146,lstm_none,4121.417214,195.994091
M38204,lstm_none,6026.888936,197.250066
M29604,lstm_none,1215.500047,187.066731
M23277,lstm_none,5923.438936,197.203260
M3752,lstm_none,5839.750341,197.163606
M33252,lstm_none,656.888936,163.372226
M5693,lstm_none,4121.943182,195.983849
M7639,lstm_none,1047.555603,184.660700
M6537,lstm_none,1112.222270,185.947648
M33657,lstm_none,3839.666714,195.674875
M21547,lstm_none,2523.000047,193.547214
M34119,lstm_none,1708.512130,189.664437
M23557,lstm_none,8124.666714,197.876137
M1571,lstm_none,1985.222270,191.877898
M33216,lstm_none,1750.591333,189.604021
M8421,lstm_none,1303.666714,186.803974
M31802,lstm_none,897.800325,182.167848
M19304,lstm_none,3108.000047,194.622267
M851,lstm_none,1863.192825,191.321340
M34969,lstm_none,1004.544236,178.675431
M38555,lstm_none,4126.888936,196.009976
M10784,lstm_none,5213.000047,196.825761
M21591,lstm_none,1189.833381,186.686317
M5730,lstm_none,5616.072543,197.039470
M13864,lstm_none,7178.017825,197.684635
M26397,lstm_none,2164.833381,192.527127
M18895,lstm_none,3965.777825,195.763754
M28850,lstm_none,10184.111159,198.315363
M148,lstm_none,18316.333381,199.086694
M24450,lstm_none,6009.481796,197.242742
M43809,lstm_none,6642.277825,197.486157
M42467,lstm_none,4956.440595,196.626739
M41589,lstm_none,1809.504895,191.122704
M35175,lstm_none,7226.232311,197.611745
M42924,lstm_none,3324.864492,195.001101
M28580,lstm_none,9551.722270,198.255528
M17173,lstm_none,1151.944492,182.272959
M40532,lstm_none,8107.511159,197.944939
M42995,lstm_none,1550.412486,189.235725
M9956,lstm_none,2388.000047,193.191626
M24345,lstm_none,14836.773370,198.870661
M42537,lstm_none,8867.381603,197.711639
M30261,lstm_none,1850.180047,191.227390
M8327,lstm_none,2474.666714,193.150955
M18938,lstm_none,886.333381,181.654058
M44608,lstm_none,2378.279951,193.176148
M28207,lstm_none,9738.888936,198.289479
M19855,lstm_none,2091.333381,192.113169
M22634,lstm_none,3024.222270,194.594229
M13180,lstm_none,2553.777825,193.630285
M17657,lstm_none,1003.555603,184.080747
M38014,lstm_none,1202.277825,186.937378
M33096,lstm_none,719.436381,177.609454
M17667,lstm_none,4741.333381,196.248634
M38440,lstm_none,7045.222270,197.642210
M30234,lstm_none,1984.112825,191.759396
M23410,lstm_none,5899.888936,197.185583
M20756,lstm_none,723.555603,177.478291
M47916,lstm_none,939.777825,183.574274
M22869,lstm_none,2601.333381,193.740359
M4304,lstm_none,8464.411159,198.010239
M41137,lstm_none,5802.241714,197.002984
M885,lstm_none,6466.888936,197.432888
M18554,lstm_none,6930.222270,197.303484
M34114,lstm_none,1347.532136,188.042457
M36326,lstm_none,5186.333381,196.697388
M22513,lstm_none,2381.888936,193.184292
M11087,lstm_none,1736.333381,190.770589
