series_id,model,mae,smape
M31381,naive,596.200000,19.441394
M31381,seasonal_naive,525.283333,16.907152
M31381,auto_theta,666.729365,20.791612
M31381,auto_ets,734.960827,21.120704
M37217,naive,45.277778,4.229830
M37217,seasonal_naive,68.388889,6.502175
M37217,auto_theta,41.588365,3.879180
M37217,auto_ets,46.690815,4.364582
M5663,naive,783.164981,6.976031
M5663,seasonal_naive,921.858568,8.335380
M5663,auto_theta,727.927482,6.421868
M5663,auto_ets,653.490744,5.844640
M23337,naive,9.166667,0.549229
M23337,seasonal_naive,8.500000,0.512063
M23337,auto_theta,4.949380,0.296404
M23337,auto_ets,5.179484,0.310350
M15952,naive,735.609444,13.535274
M15952,seasonal_naive,806.381111,15.043783
M15952,auto_theta,771.082652,14.257837
M15952,auto_ets,789.857470,14.618024
M43622,naive,1457.521654,12.423282
M43622,seasonal_naive,1841.749462,16.051976
M43622,auto_theta,1018.667566,8.478199
M43622,auto_ets,1155.679929,9.685538
M47799,naive,1175.205556,29.611603
M47799,seasonal_naive,1547.050000,32.993143
M47799,auto_theta,1685.926326,39.880085
M47799,auto_ets,1214.817866,30.485879
M36823,naive,807.392000,5.249051
M36823,seasonal_naive,2027.532167,14.019623
M36823,auto_theta,708.805691,4.584173
M36823,auto_ets,511.982500,3.281132
M19842,naive,438.888889,18.026192
M19842,seasonal_naive,983.333333,33.948550
M19842,auto_theta,373.011748,15.805739
M19842,auto_ets,718.267939,27.168341
M3920,naive,305.277778,10.678455
M3920,seasonal_naive,316.000000,11.314418
M3920,auto_theta,360.110380,12.384356
M3920,auto_ets,343.479556,11.870451
M33760,naive,1881.334667,26.070237
M33760,seasonal_naive,1248.474111,17.695229
M33760,auto_theta,741.873539,11.504695
M33760,auto_ets,778.904238,11.761458
M26741,naive,104.777778,1.350783
M26741,seasonal_naive,49.444444,0.639897
M26741,auto_theta,76.479090,0.987628
M26741,auto_ets,64.004662,0.827140
M11301,naive,41.666667,1.815663
M11301,seasonal_naive,63.333333,2.794699
M11301,auto_theta,29.318181,1.278139
M11301,auto_ets,27.787295,1.209615
