series_id,model,mae,smape
M33772,catboost_none,1205.664806,10.826544
M6341,catboost_none,204.863671,3.753874
M16502,catboost_none,293.678460,6.592969
M32262,catboost_none,6137.280494,103.500643
M45792,catboost_none,207.156233,19.559173
M30603,catboost_none,635.480399,6.685181
M5081,catboost_none,174.088183,4.352681
M12529,catboost_none,108.303740,2.818816
M2580,catboost_none,349.002610,4.980221
M46344,catboost_none,283.686658,5.197625
M31613,catboost_none,410.227285,8.926518
M17610,catboost_none,659.299922,19.811349
M39483,catboost_none,136.653555,2.948646
M17963,catboost_none,936.236605,27.428834
M30283,catboost_none,442.195430,19.362681
M12470,catboost_none,44.055865,1.807229
M40800,catboost_none,75.460717,5.015489
M13578,catboost_none,585.120278,19.170781
M38839,catboost_none,202.551827,1.993598
M7375,catboost_none,672.520616,13.506494
M29388,catboost_none,336.578997,5.225983
M41495,catboost_none,326.521250,12.734252
M4505,catboost_none,1038.592825,14.639710
M24565,catboost_none,51.149158,0.898372
M43082,catboost_none,222.253150,9.120212
M41390,catboost_none,583.922509,8.678098
M15005,catboost_none,903.814106,11.951876
M8593,catboost_none,1162.653877,19.188964
M5755,catboost_none,434.357945,11.804747
M16818,catboost_none,292.513198,3.630786
M15385,catboost_none,33.503562,2.109858
M45346,catboost_none,582.216081,9.340434
M8046,catboost_none,357.742155,36.407624
M23315,catboost_none,39.228455,1.266797
M43146,catboost_none,192.903706,4.690212
M38204,catboost_none,81.593744,1.343851
M29604,catboost_none,32.729090,2.639495
M23277,catboost_none,39.700615,0.665263
M3752,catboost_none,56.970514,0.967748
M33252,catboost_none,891.478042,89.423938
M5693,catboost_none,288.134424,6.840762
M7639,catboost_none,705.195563,50.126823
M6537,catboost_none,50.019365,4.398892
M33657,catboost_none,519.196165,12.985550
M21547,catboost_none,87.161083,3.404193
M34119,catboost_none,843.847976,42.060359
M23557,catboost_none,1446.350995,17.254528
M1571,catboost_none,75.898024,3.795800
M33216,catboost_none,887.600763,44.238208
M8421,catboost_none,620.350339,40.653424
M31802,catboost_none,478.946936,41.922146
M19304,catboost_none,1122.193060,31.031227
M851,catboost_none,441.742438,21.019293
M34969,catboost_none,252.933095,27.119627
M38555,catboost_none,50.527356,1.209637
M10784,catboost_none,244.917279,4.733980
M21591,catboost_none,167.303237,13.161885
M5730,catboost_none,391.193590,6.866805
M13864,catboost_none,201.597849,2.782309
M26397,catboost_none,90.235135,4.023087
M18895,catboost_none,660.622477,16.185071
M28850,catboost_none,1437.048985,13.924285
M148,catboost_none,614.278537,3.306859
M24450,catboost_none,150.868907,2.444641
M43809,catboost_none,476.632247,7.079721
M42467,catboost_none,532.981644,11.002305
M41589,catboost_none,36.464803,1.967794
M35175,catboost_none,951.407045,13.466483
M42924,catboost_none,278.134051,8.380031
M28580,catboost_none,542.757475,5.529650
M17173,catboost_none,743.447901,55.125153
M40532,catboost_none,471.489628,5.734640
M42995,catboost_none,438.693188,26.205078
M9956,catboost_none,650.338397,23.658357
M24345,catboost_none,614.922131,4.156641
M42537,catboost_none,3279.320145,42.511670
M30261,catboost_none,593.840357,27.552437
M8327,catboost_none,481.444123,19.159746
M18938,catboost_none,446.966057,41.251749
M44608,catboost_none,221.819925,8.764394
M28207,catboost_none,354.640372,3.568102
M19855,catboost_none,264.278754,12.383880
M22634,catboost_none,63.338709,2.081330
M13180,catboost_none,29.623766,1.142633
M17657,catboost_none,240.480025,21.939114
M38014,catboost_none,29.843717,2.373626
M33096,catboost_none,155.719639,21.706879
M17667,catboost_none,1074.798031,22.924326
M38440,catboost_none,180.744206,2.537043
M30234,catboost_none,699.295180,29.890555
M23410,catboost_none,460.545636,7.553327
M20756,catboost_none,476.629602,50.458339
M47916,catboost_none,28.136383,2.855817
M22869,catboost_none,105.913353,4.073378
M4304,catboost_none,704.054497,8.531445
M41137,catboost_none,1015.526710,17.351720
M885,catboost_none,369.130658,5.523768
M18554,catboost_none,1920.801463,25.800421
M34114,catboost_none,259.278099,17.943040
M36326,catboost_none,1080.278803,20.027045
M22513,catboost_none,72.216268,2.963121
M11087,catboost_none,51.481730,2.851500
M38166,catboost_none,127.056717,1.423508
M36711,catboost_none,1413.418248,12.966365
M9619,catboost_none,379.550642,50.223022
M27889,catboost_none,199.964394,8.864159
M2609,catboost_none,377.274465,39.922709
M8226,catboost_none,1086.467703,28.015870
M29564,catboost_none,51.756477,3.106428
M33114,catboost_none,781.574917,13.156134
M45890,catboost_none,128.714483,7.852446
M12028,catboost_none,140.225839,5.004080
M14578,catboost_none,579.512290,10.671585
M18393,catboost_none,1858.279604,23.943764
M18394,catboost_none,840.417874,17.821624
M32570,catboost_none,1443.216486,18.361943
M40879,catboost_none,63.857364,1.700447
M19822,catboost_none,1171.977591,39.889468
M24670,catboost_none,288.287230,11.274487
M36244,catboost_none,396.186498,9.745909
M2442,catboost_none,75.720345,4.036712
M12404,catboost_none,36.763347,1.337480
M12754,catboost_none,33.920782,1.316358
M29510,catboost_none,199.787202,5.756735
M19100,catboost_none,938.220262,32.585317
M36643,catboost_none,65.005939,4.190669
M12712,catboost_none,89.329005,4.938342
M19039,catboost_none,512.893969,15.679783
M2183,catboost_none,93.474814,3.296087
M38074,catboost_none,598.857783,14.424294
M39011,catboost_none,37.622204,3.843921
M26405,catboost_none,56.687186,2.437795
M23424,catboost_none,142.779806,3.362925
M25000,catboost_none,214.530180,5.593140
M38778,catboost_none,116.703109,1.161287
M37249,catboost_none,181.118692,5.939839
M36925,catboost_none,419.644134,13.469268
M5735,catboost_none,1232.632387,11.818591
M20252,catboost_none,670.852218,18.694351
M37370,catboost_none,65.094171,6.527343
M20820,catboost_none,248.139967,20.745088
M25750,catboost_none,123.807322,10.858569
M26657,catboost_none,57.403222,5.881350
M19928,catboost_none,600.675647,11.756639
M11016,catboost_none,67.664705,3.769861
M29269,catboost_none,518.592354,22.983793
M22571,catboost_none,53.276187,2.600733
M7746,catboost_none,2757.834079,29.786771
M22653,catboost_none,20.403336,1.373639
M28137,catboost_none,454.615679,4.490793
M14884,catboost_none,568.822710,5.813381
M2955,catboost_none,692.624216,6.813660
M36494,catboost_none,36.091664,2.146885
M33390,catboost_none,697.616423,37.740452
M9021,catboost_none,1360.896364,50.442434
M27093,catboost_none,304.292738,2.883370
M23830,catboost_none,875.491875,14.009052
M16180,catboost_none,635.246996,4.973239
M40947,catboost_none,747.750432,14.758892
M31013,catboost_none,431.802683,8.785167
M24082,catboost_none,519.105175,15.208216
M15401,catboost_none,604.818900,20.930481
M32772,catboost_standard,718.705497,26.849367
M39513,catboost_standard,162.375459,10.486443
M43582,catboost_standard,322.048216,9.147275
M2976,catboost_standard,351.097360,3.154490
M3378,catboost_standard,55.832096,0.902257
M3793,catboost_standard,134.015066,3.456849
M34124,catboost_standard,364.600667,14.137238
M19848,catboost_standard,773.367342,34.189209
M10422,catboost_standard,37.463870,3.385512
M28534,catboost_standard,173.873313,1.729988
M35123,catboost_standard,347.075258,16.175976
M38965,catboost_standard,159.896166,1.594563
M4832,catboost_standard,169.057532,3.083049
M26546,catboost_standard,670.584467,11.352714
M26508,catboost_standard,104.393358,2.351121
M843,catboost_standard,12.437774,1.147809
M27135,catboost_standard,5.443428,0.427989
M24472,catboost_standard,187.573319,1.823045
M41399,catboost_standard,556.362222,8.179731
M6401,catboost_standard,1223.414403,10.004620
M8727,catboost_standard,117.019321,19.958145
M19175,catboost_standard,821.685563,13.926649
M34044,catboost_standard,860.615695,21.497438
M10601,catboost_standard,575.298267,13.863955
M22156,catboost_standard,165.813755,4.401585
M13817,catboost_standard,582.852735,19.507074
M20403,catboost_standard,740.996174,58.849990
M33554,catboost_standard,68.528106,10.368419
M17448,catboost_standard,283.528955,30.746436
M1705,catboost_standard,74.352781,2.685341
M24937,catboost_standard,172.963020,4.041405
M15412,catboost_standard,1618.963767,20.687890
M9114,catboost_standard,436.713387,22.147411
M41584,catboost_standard,647.768956,6.938521
M19528,catboost_standard,174.461463,13.245549
M31381,catboost_standard,730.507404,23.222976
M37217,catboost_standard,44.662525,4.194853
M5663,catboost_standard,1215.960278,10.511164
M23337,catboost_standard,13.385396,0.802544
M15952,catboost_standard,552.541195,9.994082
M43622,catboost_standard,1509.549626,12.904665
M47799,catboost_standard,1506.731972,36.230045
M36823,catboost_standard,1921.559566,13.109304
M19842,catboost_standard,407.744905,16.879260
M3920,catboost_standard,186.155659,6.584300
M33760,catboost_standard,1464.033723,21.068558
M26741,catboost_standard,148.115181,1.902758
M11301,catboost_standard,36.014781,1.567193
M39695,catboost_standard,205.508660,2.649017
M26684,catboost_standard,886.968971,15.761544
M32983,catboost_standard,57.737341,5.199737
M34628,catboost_standard,2044.062311,28.794809
M24410,catboost_standard,126.154816,3.123000
M10445,catboost_standard,41.053198,3.966071
M27785,catboost_standard,1400.005280,10.039355
M16157,catboost_standard,291.539437,20.907735
M27832,catboost_standard,658.040723,19.492576
M45377,catboost_standard,250.630400,12.012792
M26001,catboost_standard,155.445232,3.198590
M40961,catboost_standard,5859.410522,43.265566
M5,catboost_standard,55.247427,1.265612
M6840,catboost_standard,912.606068,11.746193
M36792,catboost_standard,207.655419,7.231365
M27368,catboost_standard,138.383660,0.698406
